target,0nn,1nn,2nn,3nn,4nn
望夫石,望夫石,海參坪,七美雙心石滬,海現龍闕,厚石裙礁
牛心山（牛心灣）,牛頭山,牛姆坪,牛頭山、樓門岩,牛山海岸水璉濕地,桶盤嶼
四眼井,中央老街,延平街古井,施公祠及萬軍井,大肚瑞井里,大井頭
西瀛虹橋,觀音亭休憩園區,馬公觀音亭休閒園區,三孔橋,菜浦澳,彩虹橋
馬公北甲北辰宮,文興宮,三疊溪天臺殿,埔鹽順澤宮,永安宮,玉皇宮
西嶼東臺,西嶼西臺（西臺古堡）,七美南嶼城,五孔頂,大武崙砲台,媽宮古城
青螺沙嘴,青螺沙灘,青螺濕地,無尾港水鳥保護區,錠鉤嶼,東澳灣.粉鳥林漁港
施公祠及萬軍井,鹿港鳳山寺,淡水龍山寺,媽宮城隍廟,淡水福佑宮,大甲萬龍宮
觀音亭休憩園區,馬公觀音亭休閒園區,西瀛虹橋,太平洋公園,講美鎮海社區海堤公園,墾丁青年活動中心
澎湖海洋資源館,富山漁業資源保育區,澎湖生活博物館,澎湖縣水產種苗繁殖場,澎祖海產加工廠,澎湖水族館
西嶼西臺（西臺古堡）,西嶼東臺,五孔頂,大武崙砲台,媽宮古城,西嶼東臺軍事史蹟園區
澎湖開拓館,澎湖水族館,林投公園,澎湖生活博物館,洪根深美術館,澎湖海洋資源館
北辰市場,七股海產街,臺中市第二市場,東石漁人碼頭,菊島之星（漁人碼頭）,富基漁港
中央老街,四眼井,淡水重建街,汐止老街,湖口老街,頭城老街
馬公水仙宮（臺廈郊會館）,宗聖公祠,施公祠及萬軍井,金板境天后宮,大甲鎮瀾宮,旗津天后宮
東昌營區,西嶼東臺軍事史蹟園區,大武崙砲台,龍門閉鎖陣地,西台餌砲（外垵餌砲）,松子腳砲臺遺址
通梁古榕,港子老榕樹,八份姑媽宮,指南宮,縣定古蹟紫雲寺,太平宮
風櫃洞,風櫃洞,桶盤嶼,桶盤地質公園,海現龍闕,青灣玄武岩
裡正角日軍上陸紀念碑,林投日軍上陸紀念碑,蛇頭山遊憩園區,八二三戰役勝利紀念碑,媽宮古城,嘉義公園
張雨生故事館,潘安邦紀念館,鍾理和故居,篤行十村眷村文化保存園區,少帥張學良故居,千禧曙光紀念園區
綠蠵龜觀光保育中心,望安綠蠵龜觀光保育中心,特有生物研究保育中心,龜殼生態公園,大嶼常民生活文物館,永鎮海濱公園
景福祠,福德祠-暫,福德宮,文澳城隍廟,上帝廟（山水）,觀音亭
潘安邦紀念館,篤行十村眷村文化保存園區,張雨生故事館,林投公園,通梁古榕,澎湖開拓館
篤行十村眷村文化保存園區,二崁聚落保存區,板橋農村公園,大湳圖書館,潘安邦紀念館,(土反)里古厝
林投日軍上陸紀念碑,裡正角日軍上陸紀念碑,第一賓館,八二三戰役勝利紀念碑,蛇頭山遊憩園區,滬尾礮臺(新北市立淡水古蹟博物館)
菜園濕地,菜園休閒漁業區,好美寮自然生態保護區,雙湖園,北門潟湖,紅樹林自然保留區
澎湖生活博物館,澎湖縣文化園區,烈嶼鄉文化館,澎湖海洋資源館,澎湖水族館,觀音亭休憩園區
龍門閉鎖陣地,西台餌砲（外垵餌砲）,東昌營區,大武崙砲台,大漢據點,松子腳砲臺遺址
西嶼銅牆鐵壁彈藥本庫,東昌營區,西嶼東臺軍事史蹟園區,西嶼東臺,大武崙砲台,龍門閉鎖陣地
西嶼池西虎目滬,海現龍闕,講美海中崗哨,中流嶼,鳥嶼,吉貝島
新竹州廳(新竹市政府),新竹州市役所(新竹市美術館暨開拓館),新竹驛(新竹火車站),竹藝博物館,玻璃工藝博物館,新瓦屋客家文化保存區
新竹驛(新竹火車站),新竹州廳(新竹市政府),臺中火車站ˍ舊站,賓朗(檳榔)舊火車站,竹崎車站,三塊厝舊站
新竹火車站－站前廣場,新竹驛(新竹火車站),新竹州廳(新竹市政府),新竹護城河親水公園,竹東之心‧竹東火車a站旅遊服務中心,新竹港南濱海風景區
新竹孔廟,竹蓮寺,孔廟,蓮華寺,新竹州廳(新竹市政府),都城隍廟
新竹護城河親水公園,新竹港南濱海風景區,新竹州廳(新竹市政府),竹塹城迎曦門(東門城迎曦門),老街溪水岸自行車道,新竹火車站－站前廣場
竹塹城迎曦門(東門城迎曦門),原臺灣府城東門段城垣殘蹟,北門_承恩門,新北勢庄東柵門,金門城,縣定古蹟大興宮
竹蓮寺,新竹孔廟,金山寺﹝開臺金山寺﹞,湧蓮寺,湧蓮寺,青蓮寺
金山寺﹝開臺金山寺﹞,淡水龍山寺,縣定古蹟紫雲寺,海印寺,蓮華寺,法華寺
國立清華大學,國立交通大學,國立東華大學,國立暨南國際大學,東華大學,梅山公園
國立交通大學,國立清華大學,溪頭自然教育園區,碧湖步道,蓮花寺步道,御成路古道
國立新竹教育大學,新竹孔廟,台南二中(原台南中學學校講堂),新竹州廳(新竹市政府),元培科技大學,玄奘大學
中華大學,西寶國小,國立臺灣大學,國立臺灣大學法律學院,國立東華大學,國立暨南國際大學
玄奘大學,文昌祠,明志書院,明新書院,玄奘寺,指南宮
元培科技大學,南華大學,西寶國小,國立新竹教育大學,國立暨南國際大學,鳳林校長夢工廠
新竹港南濱海風景區,新竹護城河親水公園,南寮漁港(南寮舊港),十七公里海岸風景區旅遊服務中心,新竹州廳(新竹市政府),十七公里海岸風景區
十七公里海岸風景區,南寮漁港(南寮舊港),石門長濱自行車道,旗津觀光漁港,玩樂大鵬灣,大鵬灣國家風景區
南寮漁港(南寮舊港),新竹漁港,新竹港南濱海風景區,富山漁業資源保育區,十七公里海岸風景區,野柳漁港
麗池九曲橋,龍昇湖,湖濱公園,碧湖公園,太湖遊憩區,鯉魚山公園
青草湖,碧湖公園,湖濱公園,石門水庫,烏山頭水庫風景區,太湖遊憩區
十八尖山,大棟山,獅公髻尾山登山步道,直潭山登山步道,八通關古道,蓮花寺步道
靜心湖,牛埔農塘,太湖遊憩區,奮起湖杉林棧道,碧湖公園,椬梧滯洪池
高峰植物園,竹林休閒農業區,石牌縣界公園,埤子頭植物園,福州山公園,新莊青年公園(牡丹心生態公園)
玻璃工藝博物館,新竹州廳(新竹市政府),竹藝博物館,屏東美術館,新北市立鶯歌陶瓷博物館,影像博物館
影像博物館,昇平戲院,玻璃工藝博物館,新東糖廠文化園區,SPOT光點台北電影館,大湳圖書館
古奇峰文物館,紫雲巖,大甲鎮瀾宮,法華寺,淡水龍山寺,太平宮
消防博物館,玻璃工藝博物館,新竹驛(新竹火車站),新竹州廳(新竹市政府),影像博物館,國立臺灣大學博物館群_醫學人文博物館
鄭氏家廟,進士第,花壇中庄李宅正身,邱良功古厝,潁川家廟,後浦陳氏祠堂
進士第,鄭用錫墓,鄭氏家廟,鄭成功紀念公園,鄭成功墓址紀念碑,李錫金孝子坊
新竹長和宮,洲仔尾保寧宮,新竹孔廟,新竹神社殘跡(大陸人民處理中心),林內永安宮,斗六門受天宮
新竹水仙宮,水仙宮（日據的商業同業會館）,顯濟殿,海靈殿,開帝殿,水圳恩公祠
新竹信用組合,新竹州市役所(新竹市美術館暨開拓館),新竹州廳(新竹市政府),新竹驛(新竹火車站),新竹專賣局,新竹公園(中山公園)
張氏節孝坊,蘇氏節孝坊,欽旌節牌坊,邱良功母節孝坊,瓊林一門三節坊,陳桂記大宗祠
蘇氏節孝坊,張氏節孝坊,吳稚暉紀念公園,欽旌節牌坊,蘇周連宗祠,吳鳳故居
新竹州市役所(新竹市美術館暨開拓館),新竹州廳(新竹市政府),新竹專賣局,新竹驛(新竹火車站),新竹孔廟,新瓦屋客家文化保存區
新竹關帝廟,廣和宮,竹蓮寺,新竹孔廟,武聖廟,開基武廟
楊氏節孝坊,蕭氏節孝坊,欽旌節牌坊,竹蓮寺,新竹孔廟,楊逵紀念館
新竹州圖書館,新竹州市役所(新竹市美術館暨開拓館),新竹信用組合,新竹孔廟,新竹州廳(新竹市政府),進益摃丸文化會館
新竹專賣局,新竹州市役所(新竹市美術館暨開拓館),新竹州廳(新竹市政府),新竹驛(新竹火車站),松山文創園區,新竹信用組合
辛志平校長故居,台南二中(原台南中學學校講堂),原東勢公學校宿舍,鳳林校長夢工廠,明志書院,玄奘大學
國立新竹高中劍道館,新化武德殿,新竹州市役所(新竹市美術館暨開拓館),新竹州廳(新竹市政府),新竹驛(新竹火車站),消防博物館
鄭用錫墓,鄭成功墓址紀念碑,進士第,竹滬明寧靖王廟-華山殿,魯王墓園,後浦陳氏祠堂
李錫金孝子坊,鄭用錫墓,進士第,台灣工藝之家-萬能錫店,台灣工藝之家-陳萬能錫藝工作室,金龍窯
新竹神社殘跡(大陸人民處理中心),新竹孔廟,新竹州廳(新竹市政府),竹蓮寺,新竹關帝廟,進益摃丸文化會館
香山火車站,橫山采風館,旗山車站-糖鐵故事館,大山車站,鹿麻產車站,菁桐鐵道故事館
新竹市立動物園,新竹公園(中山公園),古奇峰,新竹護城河親水公園,臺北市立動物園,新竹港南濱海風景區
新竹漁港,南寮漁港(南寮舊港),竹圍漁港,蘆竹溝觀光漁港,福樂休閒漁村,新竹港南濱海風景區
十七公里海岸風景區旅遊服務中心,新竹港南濱海風景區,南寮漁港(南寮舊港),十七公里海岸風景區,石城服務區,芝蘭公園(芝蘭觀景平台)
看海公園,菜園濕地,太平洋公園,北門潟湖,新都生態公園,南港賞鳥區
海天一線看海區,新竹港南濱海風景區,十七公里海岸風景區旅遊服務中心,新竹州廳(新竹市政府),日落蚵田,軟鞍八卦茶園-大鞍竹海風景區
紅樹林公園,小赤壁,新竹港南濱海風景區,竹崎親水公園-花仙子步道,新莊青年公園(牡丹心生態公園),頂寮生態公園
風情海岸,山水濕地公園,好美寮自然生態保護區,高美濕地_高美野生動物保護區,四湖海岸植物園,二子坪
海山漁港觀海台,海山漁港,烏石港遊客中心,深澳漁港,山水漁港,中柱港
南港賞鳥區,無尾港水鳥保護區,竹安溪口,青螺沙嘴,塭底賞鳥區,香山溼地
變葉木步道,關西鎮農會仙草加工廠,馬太鞍濕地生態園區,紅葉公園,三代木及象鼻木,縣139線景觀道路
桂花巷,茶鄉桂花農園,南庄老街(桂花巷),桂花森林,中社觀光花市,楓香林
幸福亭,愛心公路,巃頂步道(整修中暫時封閉),竹坑南寮登山步道,匯德步道,石牛山步道
觀音亭,運動公園,華陽公園,彰化縣立體育場,楓樹腳公園,運動公園
國父百年紀念亭,十八尖山,古奇峰,五指山步道,新竹公園(中山公園),古奇峰文物館
早起會廣場,新北市市民廣場,東協廣場,繼光街商圈,板橋車站,逢甲夜市_逢甲商圈
動力基準站,丙午震災紀念碑,臺北市政府消防局防災科學教育館,九份二山地震紀念園區,台肥海洋深層水園區,高美燈塔
十九公頃青青草原,青青草原生態池,華山遊憩區,奕青酒莊,青草湖,平溪藍染工作坊
情草原(第一草原),照門步道群–霽月步道,照門步道群–觀南步道,野馬瞰山森林步道,奮起步道,鳳凰山農場
公草原(第二草原),白河將軍埤南洋櫻廊道,楓香林,平菁街42巷櫻花,草坪頭玉山茶園,楓樹湖
九草原(第三草原),公草原(第二草原),二崁草原,楓樺台一渡假村,草湳溼地,綠光森林
十草原(櫻花草原),滬尾櫻花大道,復興三路櫻花隧道,櫻木花道,平菁街42巷櫻花,阿罩霧櫻花杜鵑步道
青青草原生態池,十九公頃青青草原,華山遊憩區,景美溪河濱自行車道,青草湖風景紀念碑,平溪藍染工作坊
鳳凰橋,鳳凰吊橋,東河橋風景區,內湖葫蘆洲吊橋橋墩,水雲吊橋,軍輝橋
映月橋,前鎮之星,山線自行車道(專用道路段),日月潭自行車道-松柏崙段,社子島環島與二重疏洪道自行車道,八堡圳綠色廊道
生態教育平台,于飛島(鳥島),華江雁鴨自然公園,南部科學園區,藻礁生態環境教室,興大康橋
于飛島(鳥島),鳳凰橋,虎月吊橋,湖本生態村,飛鳳山步道,生態教育平台
北岸咖啡區,蜊埤湖,大坑觀景台,青草湖,曾文水庫,湖濱公園
青草湖靈隱寺,五股智光禪寺,種福禪寺,劍湖慈光寺,林內公園,蓮華寺
無上和尚紀念公園,圓明禪寺,林內公園,青草湖靈隱寺,蓮華寺,人乘寺地藏院
青草湖風景紀念碑,蜊埤湖,青草湖靈隱寺,青草湖,龍昇湖,明德水庫風景區
天公壇公園吊橋,大里天公廟(草嶺慶雲宮),齋明寺古道,鳶山登山步道,臺灣天壇,寶來妙通寺
飛機模型陳列館,航空教育展示館,淡江大學海事博物館,溪湖軍機公園,柳營營區,長榮海事博物館
進益摃丸文化會館,新竹孔廟,竹東之心‧竹東火車a站旅遊服務中心,新竹公園(中山公園),新竹州市役所(新竹市美術館暨開拓館),新竹州廳(新竹市政府)
眷村博物館,新瓦屋客家文化保存區,進益摃丸文化會館,新竹市立動物園,樹杞林文化館,新竹州廳(新竹市政府)
金城湖賞鳥區,金城湖,金城海濱休閒公園,金沙水庫,新湖漁港,南港賞鳥區
香山溼地,竹安溪口,無尾港水鳥保護區,青螺沙嘴,七股潟湖,南港賞鳥區
科技生活館,國立自然科學博物館,后里馬場,臺中市美術家資料館,東區地下街,三創生活
北門大街,新竹州廳(新竹市政府),竹塹城迎曦門(東門城迎曦門),新化老街,進益摃丸文化會館,金包里老街
清大夜市,逢甲夜市_逢甲商圈,清溝夜市,興南夜市,新莊廟街夜市,霧峰樹仁商圈
新竹公園(中山公園),新竹市立動物園,新竹縣立體育館,竹東之心‧竹東火車a站旅遊服務中心,新竹州市役所(新竹市美術館暨開拓館),新竹州廳(新竹市政府)
金城湖,金城湖賞鳥區,南港賞鳥區,陵水湖,香山溼地,金色水岸自行車道
古奇峰,古奇峰文物館,新竹市立動物園,竹蓮寺,國父百年紀念亭,五指山步道
海山漁港,海山漁港觀海台,新竹漁港,新竹港南濱海風景區,南寮漁港(南寮舊港),竹圍漁港
香山牧場,柳營區八翁酪農專業區,瑞穗牧場,初鹿牧場,四方牧場,香里活力豬品牌文化館
空軍村11村,新竹市立動物園,篤行十村眷村文化保存園區,玻璃工藝博物館,林園安樂樓,族群音樂館＆將軍之屋
園區園,慈湖紀念雕塑公園,靜心湖,孔廟,太湖遊憩區,慈湖陵寢（前慈湖）
丙午震災紀念碑,臺北市政府消防局防災科學教育館,龍騰斷橋、南斷橋,武昌宮,九份二山地震紀念園區,石岡穀倉
十二門古砲,臺灣府城巽方砲臺(巽方靖鎮),大武崙砲台,西台餌砲（外垵餌砲）,曹公廟/平成砲台,松子腳砲臺遺址
牆之道,郭子儀紀念堂_內湖紅樓,宗聖公祠,臺中市忠烈祠,美濃敬字亭,陳中和紀念館
一江山紀念碑,八二三戰役勝利紀念碑,戰爭與和平紀念公園主題館,敢部隊指揮部碉堡遺址(文史影像公園),林投日軍上陸紀念碑,國民革命忠烈祠
孔廟,彰化孔子廟,淡水龍山寺,大甲鎮瀾宮,天后宮,蘇周連宗祠
九華山地藏庵,護國寺,靈嚴寺,清覺寺,千佛山菩提寺,臨濟護國禪寺
祥太文化館,東隆宮王爺信仰文物館,中山公園,東隆宮文化中心,后厝龍鳳宮,旗津天后宮
蘇周連宗祠,宗聖公祠,天后宮,東隆宮王爺信仰文物館,天文宮,平鎮褒忠祠(義民廟)
紅毛井,鹿港南靖宮,會山寺,吳鳳故居,同濟宮,永安宮
月桃故事館,松原農庄,新社商圈,手信坊創意和菓子文化館,番婆林觀光花園,桃花源
動力室木雕作品展示館 (整修中),嘉義之心願景館,嘉義市立博物館,實驗木場,文化磁場中的位子,蔡家古厝
阿里山森林鐵路車庫園區,賓朗(檳榔)舊火車站,嶺腳車站,竹崎車站,五奇之鐵道,十分車站
二二八紀念公園,二二八和平公園,岡山228和平紀念公園,1895八卦山抗日保台史蹟館,丙午震災紀念碑,八二三紀念公園(中和公園)
交趾陶館（閉館整修中）,新港三朵花的動人故事,板陶窯交趾剪黏工藝園區,蕭武龍交趾陶,祥太文化館,嘉義市立博物館
嘉義市立博物館,嘉義之心願景館,射日塔,中正公園,迪化二０七博物館,嘉義公園
獄政博物館,實驗木場,屏東美術館,(土反)里古厝,郭子儀紀念堂_內湖紅樓,原海埔厝警察官吏派出所
射日塔,金板境天后宮,紫雲巖,嘉義公園,縣定古蹟紫雲寺,臺中市忠烈祠
行嘉吊橋,碧潭吊橋,烏來吊橋,彩虹橋,地景橋,新月橋
港坪運動公園,新新公園,板樹體育館,大佳河濱公園,新北市政府行政大樓,國立臺灣體育運動大學體育場館
圓林仔社區,芝山公園,富陽自然生態公園,二崁聚落保存區,頂林仔邊派出所,大愛園區
軍輝橋,鐵線橋通濟宮,東河橋風景區,大安溪鐵橋ˍ花樑鐵橋,行嘉吊橋,舊樟原橋遊憩區
劉厝里百年老樹,孫運璿科技．人文紀念館,縣定古蹟大興宮,奎閣(魁星樓),指南宮,竹林山觀音寺
嘉義公園,孫運璿科技．人文紀念館,宗聖公祠,蘇周連宗祠,東隆宮王爺信仰文物館,旗津天后宮
文化中心旁杉池,嘉義公園,林田山文化園區,池南國家森林遊樂區,羅東林業文化園區,福隆遊客服務中心
埤子頭植物園,大坪頂熱帶植物園,高峰植物園,觸口行政暨遊客中心,遼寧公園,淡江大學蘭陽校園
中正公園,臺北市立美術館,高雄市文化中心,DaliArt 藝術廣場,寶町藝文中心,國家兩廳院
中央噴水池,板頭社區舊河道文化會館,仁義潭水庫,嘉義市立博物館,嘉義市身心障礙綜合園區─再耕園,農田水利署嘉南管理處(原嘉南大圳組合事務所)
文化路夜市,中山北路條通商圈,三和夜市,寧夏觀光夜市,雙城街夜市,饒河街觀光夜市
世賢路自行車道,東光園道,福興南和自行車道,新屋綠色走廊,福林公園,嘉義市環市自行車道
蕭萬長文物館,梅嶺美術館,國立故宮博物院南部院區,長流當代美術館(桃園館),鎮瀾文化大樓,國史館臺灣文獻館
嘉義市身心障礙綜合園區─再耕園,再耕園─蜻蛉玉工坊,嘉義之心願景館,嘉義市立博物館,北香湖公園,杜園
再耕園─蜻蛉玉工坊,嘉義市身心障礙綜合園區─再耕園,大原花布燈籠生活文化館,杜園,五榖文化村,悠紙生活館
虎‧棒‧水泉,立德棒球場,紅葉少棒紀念館,臺中市洲際棒球場,棒球名人堂,KANO園區
農業試驗分所,大安生態教育農場,金門縣農業試驗所,埤子頭植物園,上瑞柑園,頤禾園有機農園
嘉義之心願景館,嘉義市立博物館,臺中火車站ˍ舊站,山里火車站,桃園軌道願景館,賓朗(檳榔)舊火車站
KANO園區,虎‧棒‧水泉,棒球名人堂,紅葉少棒紀念館,立德棒球場,斗六棒球場
沉睡森林主題公園,烏來風景區,新豐三元宮,五十二甲賞鳥區,總爺藝文中心,八德落羽松森林
北香湖公園,桐花公園,知卡宣森林公園,菊苑休憩園區（澎湖休憩園區）,碧湖公園,太湖遊憩區
頂庄社區,頂庄社區,石門嵩山社區百年石砌梯田,屏東縣民公園,泉明生態教育蠶業農場,千禧公園
矯正塾1921,實驗木場,內埔星空廣場,苦伕寮公園,錦町日式宿舍群,行嘉吊橋
彌陀映月橋,關渡大橋,行嘉吊橋,永興吊橋,石鼓盤觀光大橋,羅浮橋
頂庄社區,頂庄社區,石門嵩山社區百年石砌梯田,屏東縣民公園,泉明生態教育蠶業農場,千禧公園
滑草場與星光溜滑梯,幸運草地景溜滑梯,錦和運動公園,登山街60巷歷史場域時空廊道滑梯,立德棒球場,天母運動場區_棒球場
蘭潭音樂噴泉,罩蘭藝文中心,臺中市中山堂,國家兩廳院,千禧曙光紀念園區,中正公園
森林之歌,馬武督探索森林(綠光小學),天木,小粗坑古道,祝山觀日平台,喜樂發發森林公園
蘭潭後山公園,仁山植物園,碧湖步道,田中森林公園,大同山登山步道,捎來步道
嘉義市環市自行車道,世賢路自行車道,六家佃長壽橋,山線自行車道(專用道路段),東光園道,福興南和自行車道
實驗木場,內埔星空廣場,原東勢公學校宿舍,美雅家具觀光工廠,臺灣電力株式會社社長宿舍,苦伕寮公園
大稻埕碼頭_大稻埕碼頭貨櫃市集,大稻埕公園,臺灣新文化運動紀念館,稻米故事館,大稻埕街區_迪化街店屋,慈聖宮前小吃區
關渡碼頭,八里左岸自行車道,淡水渡船頭,延平河濱公園,關渡_金色水岸_八里左岸自行車道,關渡水岸公園
大佳碼頭,美堤碼頭,延平河濱公園,社子島島頭濕地,白沙港,神祕小海灣
景美溪河濱自行車道,雙溪生活水岸自行車道,山線自行車道(專用道路段),社子島環島與二重疏洪道自行車道,雙溪區自行車道,江子翠河口景觀河濱公園
關渡_金色水岸_八里左岸自行車道,八里左岸自行車道,延平河濱公園,大漢溪自行車道,龜山第一河濱公園,社子島環島與二重疏洪道自行車道
社子島環島與二重疏洪道自行車道,關山親水公園,新店溪河濱自行車道,南崁溪水岸自行車道,宜蘭濱海自行車道,基隆河河濱自行車道
雙溪生活水岸自行車道,大漢溪自行車道,社子島環島與二重疏洪道自行車道,龜山第一河濱公園,成美右岸河濱公園,新店溪河濱自行車道
陽明山國家公園冷水坑_牛奶池,東埔溫泉,綠島朝日溫泉,磺港公共浴室(黃金之湯),不老溫泉渡假村,石夢谷
陽明山溫泉區_小油坑,天台山,大棟山,獅公髻尾山登山步道,奮起步道,內雙溪自然中心
新北投溫泉區,泉源公園泡腳池園區,瑞穗、紅葉地區溫泉,國姓北港溪溫泉,安通溫泉,瑞穗溫泉
國立臺灣科學教育館,南瀛天文館,臺北市立天文科學教育館,樹谷生活科學館,板橋435藝文特區,國立自然科學博物館
國立中正紀念堂,國家兩廳院,臺灣戲曲中心,李天祿布袋戲文物館,中正公園,臺北市中山堂
國民革命忠烈祠,忠誠門,勝利新村-將軍之屋,新北市忠烈祠,戰爭和平紀念公園主題館,俞大維先生紀念館
陽明山中山樓,逸仙公園,經國先生紀念堂,高雄市二二八和平公園,北埔老街,孫運璿科技．人文紀念館
臺北自來水園區,山水濕地公園,龍泉親水公園,臺北市客家文化主題公園,大坪頂熱帶植物園,新良人工濕地
臺北市立美術館,城市光廊,中正公園,國立臺灣大學博物館群_醫學人文博物館,臺東美術館,梅嶺美術館
二二八和平公園,高雄市二二八和平公園,二二八國家紀念館,八二三紀念公園(中和公園),孫運璿科技．人文紀念館,嘉義公園
台北當代藝術館,二二八國家紀念館,台北國際藝術村,梅嶺美術館,臺北市中山堂,國立臺灣藝術教育館
北投溫泉博物館,新北投溫泉區,知本圳親水公園,紅葉溫泉,安通溫泉區,泉源公園泡腳池園區
林語堂故居,阮家古厝（金德興藥舖）,孫運璿科技．人文紀念館,三重林氏古厝(崇德居),蘆洲李宅古蹟-李友邦將軍紀念館,莊貢生古厝
SPOT光點台北電影館,大湳圖書館,昇平戲院,新東糖廠文化園區,陽翟老街,二二八國家紀念館
市長官邸藝文沙龍,國家兩廳院,寶町藝文中心,大湳圖書館,北投文物館,中正公園
牯嶺街小劇場,大湳圖書館,昇平戲院,新東糖廠文化園區,華山1914文化創意產業園區,寶町藝文中心
紫藤廬,莊貢生古厝,孫運璿科技．人文紀念館,北埔老街,二崁聚落保存區,台灣農林大寮茶文館
臺北市立天文科學教育館,南瀛天文館,高雄市天文教育館,原台南測候所(中央氣象局臺灣南區氣象中心),陽明山夜景,新北市立圖書館林口東勢閱讀室
順益台灣原住民博物館,原住民文化主題公園,大嶼常民生活文物館,達邦遊客中心與鄒族自然文化中心,喜樂發發森林公園,臺東縣成功鎮原住民文物館
北投文物館,台灣農林大寮茶文館,新北市坪林茶業博物館,石碇淡蘭藝文館,呂美麗精雕藝術館,府東創意森林園區(原臺南州立農事試驗場宿舍群)
樹火紀念紙博物館,造紙龍手創館,悠紙生活館,忠信市場,荒木藝術中心,五榖文化村
胡適紀念館,洪根深美術館,孫運璿科技．人文紀念館,經國先生紀念堂,少帥張學良故居,陳清吉洋樓
芝山文化生態綠園_芝山岩展示館,熾坪隴考古遺址,德文部落,水湳洞遊客中心_山城美館,卑南遺址公園,嘉義公園
臺北市藝文推廣處_城市舞台,臺北市中山堂,新北市藝文中心,圓滿戶外劇場,寶町藝文中心,中正公園
郵政博物館,臺北北門郵局_臺北901支,澎湖郵便局,臺北迪化街郵局,舊潮州郵局(屏東戲曲故事館),二二八國家紀念館
照明淨寺_情人廟,圓光禪寺,觀音洞,清覺寺,天恩宮,崑慈堂
芝山巖惠濟宮,廣安宮,指南宮,鹿港鳳山寺,青蓮寺,延平郡王祠
指南宮,松山慈惠堂,護國寺,會山寺,臨濟護國禪寺,大甲萬龍宮
行天宮,臺灣省城隍廟,三忠廟,北極殿,豐原慈濟宮,碧山巖開漳聖王廟
北投普濟寺,東山禪寺,臨濟護國禪寺,圓光禪寺,靈嚴寺,開山院
碧山巖開漳聖王廟,媽宮城隍廟,寧城宮,廣安宮,指南宮,艋舺青山宮
台北霞海城隍廟,淡水福佑宮,蘇澳晉安宮(張公廟),埔鹽順澤宮,平鎮褒忠祠(義民廟),台中城隍廟
松山慈祐宮,淡水福佑宮,昭應宮,北極殿,慈和宮,雙慈殿
士林慈諴宮,縣定古蹟大興宮,鹿港鳳山寺,新莊慈祐宮,大甲鎮瀾宮,淡水龍山寺
艋舺清水巖,清水岩寺,永安宮,淡水福佑宮,指南宮,德源禪寺
艋舺青山宮,碧山巖開漳聖王廟,三忠廟,寧城宮,天后宮,埔鹽順澤宮
財團法人劍潭古寺,縣定古蹟紫雲寺,玄光寺,海印寺,鹿港鳳山寺,淡水龍山寺
財團法人台北市關渡宮,東隆宮文化中心,后厝龍鳳宮,壽天宮,板橋慈惠宮,玉山寶光聖堂
天恩宮,圓光禪寺,永安宮,護國寺,靈嚴寺,清覺寺
景美集應廟,芝山公園,淡水龍山寺,台灣農林大寮茶文館,旗津天后宮,樟山寺
天主教台北聖家堂,圓滿教堂,世界宗教博物館,清泉天主堂,台灣基督長老教會大稻埕教會,中台世界博物館
李春生紀念教會,陳天來故居,大稻埕街區_迪化街店屋,甘州街_茶葉街,莊貢生古厝,台灣基督長老教會大稻埕教會
臺北清真寺,竹林山觀音寺,臺中市忠烈祠,湧蓮寺,湧蓮寺,台灣基督長老教會大稻埕教會
臺北市鄉土教育中心_剝皮寮歷史街區,大湳圖書館,美濃文創中心,二二八國家紀念館,西本願寺廣場,孫運璿科技．人文紀念館
北門_承恩門,東門_景福門,新北勢庄東柵門,小南門_重熙門,竹塹城迎曦門(東門城迎曦門),北埔老街
中華民國總統府,紅毛城園區(新北市立淡水古蹟博物館),第一賓館,勝利新村-將軍之屋,滬尾礮臺(新北市立淡水古蹟博物館),初來抗日紀念碑
林安泰古厝民俗文物館,公司田溪程氏古厝,龔家古厝,郭子儀紀念堂_內湖紅樓,卯澳漁港,莊貢生古厝
小南門_重熙門,東門_景福門,北門_承恩門,臺灣府城城垣南門段殘蹟,紅毛城園區(新北市立淡水古蹟博物館),媽宮古城
國立臺灣大學醫學院附設醫院_西址,國立臺灣大學博物館群_醫學人文博物館,滬尾馬偕醫館,國立臺東生活美學館,二二八國家紀念館,原台南廳長官邸
東門_景福門,新北勢庄東柵門,北門_承恩門,小南門_重熙門,媽宮古城,郭子儀紀念堂_內湖紅樓
大稻埕辜宅,陳中和紀念館,小白宮(新北市立淡水古蹟博物館),原臺灣總督府專賣局臺南支局（白雪學堂）,郭子儀紀念堂_內湖紅樓,淡水紅樓
臺北北門郵局_臺北901支,澎湖郵便局,郵政博物館,北門_承恩門,大湳圖書館,中區再生基地
陳天來故居,大稻埕街區_迪化街店屋,台灣農林大寮茶文館,新北市坪林茶業博物館,李春生紀念教會,甘州街_茶葉街
大稻埕街區_迪化街店屋,陳天來故居,金包里老街,頭城老街,新化老街,汐止老街
台北國際藝術村,臺灣戲曲中心,苗北藝文中心,朝代畫廊 Dynasty Gallery,福利社 FreeS Art Space,新北市藝文中心
新店溪河濱自行車道,延平河濱公園,南崁溪水岸自行車道,八里左岸自行車道,烏來吊橋,大湖公園
基隆廟口,寧夏觀光夜市,廟東夜市,廣州街觀光夜市,三和夜市,雙城街夜市
